datetime,A,D,F,q,w,e,r,c,v,b,z,a,s,d,f,b,v,d,center
2021-09-29,3,2021,9,40,4,0,172,22779,7401.097502,168589600,3096446,55246389346,1,4,21,19,24,23,152805973
2021-09-30,3,2021,9,40,5,0,173,27009,7293.426636,196988160,2450890,55247291641,3,25,21,17,27,4,147027788
2021-10-01,3,2021,10,40,6,0,173,28246,7778.199745,219703030,2808236,65241241875,14,1,20,15,27,1,145573848
2021-10-02,3,2021,10,40,7,0,174,32894,8282.61081,272448200,2720763,61946985937,0,1,20,16,27,1,188391116
2021-10-03,3,2021,10,41,1,1,173,33448,7931.071514,265278480,2449195,63368081814,0,0,21,15,29,0,26793600
2021-10-04,3,2021,10,41,2,1,173,25627,7548.468802,193444610,2582193,58715851594,0,0,23,17,28,3,160007977
2021-10-05,3,2021,10,41,3,0,173,25476,7242.339457,184505840,2432335,58195938427,2,2,22,18,28,2,263202091
2021-10-06,3,2021,10,41,4,0,172,23742,7376.561368,175134320,2273377,59410836295,0,1,20,17,25,4,169812235
2021-10-07,3,2021,10,41,5,0,173,24537,7317.93251,179560110,2482061,57256994091,2,0,20,17,25,2,159327392
2021-10-08,3,2021,10,41,6,0,175,25416,8112.843878,206196040,2508579,66540364453,1,3,20,18,23,2,152512274
2021-10-09,3,2021,10,41,7,1,175,31253,8752.892842,273554160,2230246,64139191465,0,2,22,19,27,4,195965908
2021-10-10,3,2021,10,42,1,0,174,32888,8440.129226,277578970,2297856,63920339772,0,1,22,18,28,5,23305023
2021-10-11,3,2021,10,42,2,1,175,25431,7938.107035,201874000,2686442,58558483509,0,1,16,14,21,12,148811712
2021-10-12,3,2021,10,42,3,0,176,26538,7191.989977,190861030,2434136,56770126218,0,3,16,15,18,4,249045540
2021-10-13,3,2021,10,42,4,0,175,27206,7150.114313,194526010,2500531,60666111064,2,3,18,15,23,0,170562187
2021-10-14,3,2021,10,42,5,0,175,27756,7084.330595,196632680,2927378,58423247904,0,3,19,15,25,0,153684864
2021-10-15,3,2021,10,42,6,0,175,26100,7923.925287,206814450,2403562,58619597326,4,2,18,15,22,6,158052116
2021-10-16,3,2021,10,42,7,0,176,29111,8307.923637,241851965,2533312,56039112848,0,3,13,7,17,6,178218838
2021-10-17,3,2021,10,43,1,0,174,24906,7797.649562,194208260,2756720,55936267468,0,4,6,2,13,0,22773139
2021-10-18,3,2021,10,43,2,0,174,25743,7149.769258,184056510,2692569,51442567920,0,3,9,1,17,0,139974388
2021-10-19,3,2021,10,43,3,0,174,24264,7086.665842,171950860,2786500,52553915017,0,1,11,6,17,3,219412808
2021-10-20,3,2021,10,43,4,0,176,25592,7156.249609,183142740,3057031,54711968080,0,4,9,4,16,0,152028773
2021-10-21,3,2021,10,43,5,0,176,25826,7147.795632,184598970,2621681,52436528589,0,2,9,4,16,0,161495614
2021-10-22,3,2021,10,43,6,0,176,26959,7685.091435,207182380,2933982,69914296552,4,1,10,5,17,0,176390634
2021-10-23,3,2021,10,43,7,0,176,30550,8012.688052,244787620,2640691,67011396174,0,2,10,4,19,0,184160107
2021-10-24,3,2021,10,44,1,0,175,27167,7696.273236,209084655,2811269,66823913885,0,4,10,4,19,0,21884520
2021-10-25,3,2021,10,44,2,0,176,25893,7269.575947,188231130,2869423,62800401580,1,14,11,5,19,0,134844250
2021-10-26,3,2021,10,44,3,0,176,25826,7038.117401,181766420,2790533,61825428856,1,1,11,5,19,0,223876305
2021-10-27,3,2021,10,44,4,0,176,26294,7156.229558,188165900,2878739,60448478092,3,3,13,8,20,0,163302259
2021-10-28,3,2021,10,44,5,0,174,25831,7261.373156,187568530,2712773,56822531591,0,2,12,5,20,0,161578576
2021-10-29,3,2021,10,44,6,0,174,27127,7828.033325,212351060,2904967,56018139901,5,7,12,7,19,0,182681397
2021-10-30,3,2021,10,44,7,0,173,30555,8186.540664,250139750,2475200,55237351653,0,6,12,8,18,0,169291816
2021-10-31,3,2021,10,45,1,0,172,27501,7952.22101,218694030,2694484,55363735314,6,15,12,6,20,0,23643888
2021-11-01,3,2021,11,45,2,0,175,25175,7379.518967,185779390,2719010,50585592001,14,2,13,8,19,0,170573708
2021-11-02,3,2021,11,45,3,0,176,24634,7356.870179,181229140,2623314,52360626264,2,0,11,6,17,0,234780989
2021-11-03,3,2021,11,45,4,0,177,25265,7297.473184,184370660,2706785,54972853305,1,1,11,6,18,0,170170660
2021-11-04,3,2021,11,45,5,0,177,25831,7178.804537,185435700,2698710,52237150043,2,1,12,6,19,0,169641920
2021-11-05,3,2021,11,45,6,0,178,27952,7642.52397,213623830,2707071,54656090079,2,1,12,6,19,0,154617228
2021-11-06,3,2021,11,45,7,0,178,31305,8139.343875,254802160,2512114,52133354397,0,0,13,7,20,0,171253255
2021-11-07,3,2021,11,46,1,0,177,26558,7701.059944,204524750,2988205,52093619286,0,1,14,7,21,0,18917736
2021-11-08,3,2021,11,46,2,0,176,22624,7458.876193,168749615,3407761,47844165293,0,3,10,6,17,23,147182483
2021-11-09,3,2021,11,46,3,0,177,22844,7683.84346,175529720,2818021,50935710205,0,1,7,5,10,3,219550117
2021-11-10,3,2021,11,46,4,0,178,24591,7616.0819,187287070,2816919,54299426486,0,0,7,4,9,3,148878366
2021-11-11,3,2021,11,46,5,0,178,25729,7750.325314,199408120,2761033,50542114414,0,1,7,4,11,1,138376975
2021-11-12,3,2021,11,46,6,0,178,25340,8029.585635,203469700,2719845,52575613389,3,5,6,2,10,1,145688705
2021-11-13,3,2021,11,46,7,0,178,28009,8270.838659,231657920,2778253,49477919625,0,3,7,1,14,0,166210973
2021-11-14,3,2021,11,47,1,0,176,24975,7793.371371,194639450,2964209,49429281492,0,1,9,4,17,0,19639917
2021-11-15,3,2021,11,47,2,0,178,24794,7176.424135,177932260,3026251,45518133340,1,6,9,4,16,0,128826693
2021-11-16,3,2021,11,47,3,0,178,24195,7327.88324,177298135,3316499,48867491397,1,0,8,3,15,0,221065881
2021-11-17,3,2021,11,47,4,0,178,24256,7198.483056,174606405,3077402,51322872049,0,6,7,1,14,0,153152149
2021-11-18,3,2021,11,47,5,0,178,24737,7332.633707,181387360,2719787,49057196305,0,2,10,4,16,0,139727115
2021-11-19,3,2021,11,47,6,0,178,27592,7895.453755,217851360,2719233,51729237208,0,2,11,6,18,0,156847753
2021-11-20,3,2021,11,47,7,0,177,28925,8255.676059,238795430,2781175,48135280469,0,5,10,5,17,0,151703605
2021-11-21,3,2021,11,48,1,0,176,24509,7899.161124,193600540,2738730,48044345904,0,0,10,6,16,1,21715238
2021-11-22,3,2021,11,48,2,0,177,22948,7415.770438,170177100,2790542,43965426701,0,4,6,1,12,2,143005556
2021-11-23,3,2021,11,48,3,0,177,22231,7315.855787,162638790,2985736,46871677875,0,2,3,0,5,1,212423735
2021-11-24,3,2021,11,48,4,0,177,23198,7269.268471,168632490,2849306,50582657487,0,4,6,1,11,0,149044932
2021-11-25,3,2021,11,48,5,0,178,23668,7244.845783,171471010,3108101,48885212653,0,11,8,2,14,0,139482908
2021-11-26,3,2021,11,48,6,0,178,25074,7787.101779,195253790,2753988,51860093653,1,1,5,0,11,0,150740741
2021-11-27,3,2021,11,48,7,0,178,27323,8378.72342,228931860,2715906,49240917952,0,2,3,-2,11,0,176917992
2021-11-28,3,2021,11,49,1,0,177,23842,7809.026927,186182820,2845049,49179357957,0,1,5,-3,13,0,21944608
2021-11-29,3,2021,11,49,2,0,179,24129,7284.342078,175763890,2858584,46377236882,0,9,6,0,14,0,189353542
2021-11-30,3,2021,11,49,3,0,179,21964,7557.051084,165983070,2877637,48147417381,2,19,6,2,11,23,208466523
2021-12-01,4,2021,12,49,4,0,180,22266,7583.479296,168853750,3174383,52571421295,16,2,1,-2,4,0,156597451
2021-12-02,4,2021,12,49,5,0,180,22825,7307.508434,166793880,2763096,49445159447,1,0,2,-4,7,0,144426514
2021-12-03,4,2021,12,49,6,0,181,24304,8005.252633,194559660,2991087,51930399317,3,1,4,0,8,1,156945758
2021-12-04,4,2021,12,49,7,0,181,26344,8516.88392,224368790,2880941,49652989496,0,0,2,-3,8,0,169380432
2021-12-05,4,2021,12,50,1,0,179,22896,7853.583159,179815640,2855711,49619987195,0,0,3,-3,10,0,20347935
2021-12-06,4,2021,12,50,2,0,180,23722,7353.698255,174444430,2857200,45610752311,0,2,5,-1,13,0,145081026
2021-12-07,4,2021,12,50,3,0,179,23075,7382.604334,170353595,3308717,49887441505,1,0,6,0,13,1,214470062
2021-12-08,4,2021,12,50,4,0,179,23792,7411.151227,176326110,3000347,50816474305,1,4,5,0,13,0,142370402
2021-12-09,4,2021,12,50,5,0,179,23473,7419.618711,174160710,2851672,48469826288,1,0,6,0,12,0,141489846
2021-12-10,4,2021,12,50,6,0,181,25152,7997.5823,201155190,2959987,50654691920,0,3,7,3,12,0,150549790
2021-12-11,4,2021,12,50,7,0,181,27242,8325.740034,226809810,2848590,46553025871,0,0,7,3,12,0,201354765
2021-12-12,4,2021,12,51,1,0,180,23084,8055.231329,185946960,2962579,46466886244,0,1,4,-1,9,0,22195295
2021-12-13,4,2021,12,51,2,0,180,23435,7368.713036,172685790,2930943,42031866824,3,2,-1,-5,4,0,149873138
2021-12-14,4,2021,12,51,3,0,181,23252,7286.737055,169431210,2552945,45566618959,0,5,2,-4,8,0,222699986
2021-12-15,4,2021,12,51,4,0,182,23521,7536.219548,177259420,2676956,47780215966,1,5,6,2,12,1,141369758
2021-12-16,4,2021,12,51,5,0,181,23802,7499.721452,178508370,2622631,45710216488,0,0,6,3,10,1,144533544
2021-12-17,4,2021,12,51,6,0,181,23442,8214.121875,192555445,3017319,47871254505,2,2,-2,-7,6,0,150762272
2021-12-18,4,2021,12,51,7,0,182,25014,8970.257056,224382010,2947060,45112088243,0,2,-4,-10,2,1,161101707
2021-12-19,4,2021,12,52,1,0,179,21081,8181.267966,172469310,2669665,45049267829,0,1,1,-4,5,1,19159874
2021-12-20,4,2021,12,52,2,0,180,23355,7616.68465,177887670,3061695,40909414547,5,3,5,-2,11,0,129928021
2021-12-21,4,2021,12,52,3,0,181,23080,7670.34662,177031600,2928548,44303916079,2,1,6,1,13,0,212764310
2021-12-22,4,2021,12,52,4,0,180,23033,7799.569314,179647480,2882903,48659344801,1,5,3,-2,10,0,154994700
2021-12-23,4,2021,12,52,5,0,181,22778,7840.710335,178595700,2845868,46804283381,0,6,2,-4,10,0,173695075
2021-12-24,4,2021,12,52,6,0,181,24945,9160.201644,228501230,3104258,51624740364,2,3,2,-3,8,1,155482583
2021-12-25,4,2021,12,52,7,1,181,25179,9946.675801,250447350,3158479,47866455783,0,4,-6,-10,-1,1,189383405
2021-12-26,4,2021,12,53,1,0,178,19991,9051.075484,180940050,3095371,47766735488,0,4,-8,-12,-4,0,19220457
2021-12-27,4,2021,12,53,2,0,180,22054,8464.104017,186667350,3710366,44507623708,3,4,-5,-11,1,0,136840312
2021-12-28,4,2021,12,53,3,0,180,21677,8220.842829,178203210,3186677,46767214004,3,13,0,-5,5,0,225525350
2021-12-29,4,2021,12,53,4,0,182,22274,8574.558678,190989720,3184845,47560524974,2,2,3,-3,8,0,162489544
2021-12-30,4,2021,12,53,5,0,181,22846,8658.324871,197808090,3351857,46640045841,1,1,-1,-3,3,0,183823180
2021-12-31,4,2021,12,53,6,0,182,26852,10340.21488,277655450,3947208,45410920645,3,4,-4,-7,0,0,166406903
2022-01-01,4,2022,1,1,7,1,182,27964,9631.883135,269345980,3060980,44032735923,2,4,-4,-10,3,0,167035989
2022-01-02,4,2022,1,2,1,0,181,21084,8602.024758,181365090,2829642,43671447239,0,2,-1,-7,6,0,23097641
2022-01-03,4,2022,1,2,2,0,183,21466,7998.150564,171688300,3265614,45349768229,11,0,-2,-8,5,0,138894188
2022-01-04,4,2022,1,2,3,0,182,22048,7850.308418,173083600,3344741,55204341312,5,2,0,-5,5,0,220902284
2022-01-05,4,2022,1,2,4,0,181,22044,7876.311014,173625400,2569887,61291639119,2,3,-1,-6,4,0,177704211
2022-01-06,4,2022,1,2,5,0,183,22032,8029.867012,176914030,2737735,59560323408,1,2,0,-5,6,0,189206267
2022-01-07,4,2022,1,2,6,0,182,24158,8495.18172,205226600,3218484,62062180008,1,2,-2,-8,7,0,157930536
2022-01-08,4,2022,1,2,7,0,184,25925,8987.018322,232988450,3131048,60496069804,1,0,0,-7,7,0,167104365
2022-01-09,4,2022,1,3,1,0,183,22676,8262.051729,187350285,2732591,60022826835,1,2,2,-3,7,0,20386990
2022-01-10,4,2022,1,3,2,0,183,22872,8006.554739,183125920,2796117,56332220302,1,2,1,-5,8,0,133865691
2022-01-11,4,2022,1,3,3,0,184,21537,8135.226355,175208370,2867786,56804051769,2,1,-3,-7,2,0,211643895
2022-01-12,4,2022,1,3,4,0,185,21678,8101.688348,175628400,2696306,56709127757,1,0,-5,-10,0,0,161225321
2022-01-13,4,2022,1,3,5,0,182,21665,8297.280868,179760590,2770460,54898678139,0,1,-4,-8,-1,0,195766914
2022-01-14,4,2022,1,3,6,0,184,23812,8672.010331,206497910,3299010,56866063321,2,5,-4,-10,3,0,166791452
2022-01-15,4,2022,1,3,7,0,187,27129,9119.464411,247401950,3263460,53400821761,1,7,0,-6,6,0,154857196
2022-01-16,4,2022,1,4,1,0,185,21842,8624.899734,188385060,2748235,53338652288,0,1,1,-4,5,0,22383016
2022-01-17,4,2022,1,4,2,0,186,21596,8216.519726,177443960,3214350,49579615758,0,5,-3,-7,2,0,139929150
2022-01-18,4,2022,1,4,3,0,184,21964,8153.724731,179088410,3039476,52570561732,0,1,-4,-9,2,0,226644405
2022-01-19,4,2022,1,4,4,0,183,21544,8264.982826,178060790,3027039,57720974958,1,2,-3,-9,3,0,164038100
2022-01-20,4,2022,1,4,5,0,184,21783,8063.776339,175653240,2878128,56666390809,0,5,-4,-9,3,0,145110463
2022-01-21,4,2022,1,4,6,0,185,23715,8846.738773,209800410,3054477,61470066800,1,4,-3,-10,6,0,148361458
2022-01-22,4,2022,1,4,7,0,186,26217,9152.00328,239938070,3067885,57733686090,0,1,2,-5,8,0,168416547
2022-01-23,4,2022,1,5,1,0,184,22213,8351.477963,185511380,3219024,57370324844,0,0,4,0,10,0,21598963
2022-01-24,4,2022,1,5,2,0,186,22188,7922.264738,175779210,3429075,54979943097,0,3,4,-1,8,0,138789548
2022-01-25,4,2022,1,5,3,0,186,22159,8127.485446,180096950,3030225,62624209763,1,4,3,1,6,0,225293890
2022-01-26,4,2022,1,5,4,0,186,22443,8597.925411,192963240,2998093,81035937503,1,1,2,-2,7,0,220350373
2022-01-27,4,2022,1,5,5,0,187,22523,7919.334902,178367180,3443665,74696463469,0,4,1,-4,7,0,200798728
2022-01-28,4,2022,1,5,6,0,187,23303,8577.051453,199871030,3275705,72161793378,0,5,0,-5,5,0,331930294
2022-01-29,4,2022,1,5,7,0,187,25763,9297.560067,239533040,3235112,68632142336,0,8,-1,-5,4,0,254590160
2022-01-30,4,2022,1,6,1,0,186,25926,9290.905269,240876010,3157173,69802950656,0,3,-2,-7,5,0,32200488
2022-01-31,4,2022,1,6,2,1,185,25888,9015.155671,233384350,3586575,65884364057,0,2,-1,-8,6,0,169960850
2022-02-01,4,2022,2,6,3,1,174,22914,9784.389893,224199510,3042996,65835750430,9,0,0,-3,3,1,11936822
2022-02-02,4,2022,2,6,4,1,182,20860,8707.801055,181644730,3083862,61106739105,0,0,-1,-5,3,0,190818310
2022-02-03,4,2022,2,6,5,0,187,22470,8245.23943,185270530,2983200,61412877295,4,0,-2,-6,4,0,205965850
2022-02-04,4,2022,2,6,6,0,187,22935,8865.329409,203326330,3023045,64792876917,2,0,-3,-7,3,0,146530028
2022-02-05,4,2022,2,6,7,0,188,22967,9058.142988,208038370,2727035,62422981501,0,3,-4,-8,0,0,149713779
2022-02-06,4,2022,2,7,1,0,186,19653,8351.498499,164132000,3093071,62350364676,0,1,-3,-8,3,0,23624001
2022-02-07,4,2022,2,7,2,0,186,21476,8167.185696,175398480,2903936,58654062200,2,2,-2,-7,3,0,139969615
2022-02-08,4,2022,2,7,3,0,187,21506,8054.268111,173215090,2902286,57468549464,0,1,0,-6,6,0,200372648
2022-02-09,4,2022,2,7,4,0,187,21920,7911.766423,173425920,2897689,56772304939,0,1,1,-7,8,0,148698494
2022-02-10,4,2022,2,7,5,0,188,22248,8104.792341,180315420,3005755,54155478168,0,1,2,-2,9,0,130861547
2022-02-11,4,2022,2,7,6,0,188,24038,8726.118645,209758440,3239771,54334401246,2,0,2,-5,10,0,139093241
2022-02-12,4,2022,2,7,7,0,188,27248,8873.213447,241777320,3021366,51143728979,0,1,4,-2,11,0,181171121
2022-02-13,4,2022,2,8,1,0,186,22613,8463.452881,191384060,2750924,51207764407,0,3,4,0,11,0,22854502
2022-02-14,4,2022,2,8,2,0,186,23397,8091.623712,189319720,2845905,46908741994,2,1,4,-2,11,0,180915578
2022-02-15,4,2022,2,8,3,0,189,21352,8281.90755,176835290,2945553,48348955442,2,4,-2,-6,2,0,212250846
2022-02-16,4,2022,2,8,4,0,189,20781,8364.849622,173829940,2741669,50053793295,0,3,-5,-8,-1,0,154576133
2022-02-17,4,2022,2,8,5,0,190,21776,8216.591201,178924490,2949274,48419736762,0,2,-5,-10,0,0,140863878
2022-02-18,4,2022,2,8,6,0,190,24430,8723.762178,213121510,3107189,53438304804,0,0,-1,-10,7,0,155496533
2022-02-19,4,2022,2,8,7,0,191,26440,9155.977307,242084040,3300615,50669787735,0,3,1,-3,5,0,179021257
2022-02-20,4,2022,2,9,1,0,188,21295,8675.97699,184754930,3339669,50189934184,0,1,-3,-6,1,0,20878144
2022-02-21,4,2022,2,9,2,0,189,22111,8367.080186,185004510,3665445,46378997894,0,4,-1,-8,5,0,168853255
2022-02-22,4,2022,2,9,3,0,188,21718,8480.422691,184177820,3279300,51168477904,0,4,-2,-6,3,0,209164477
2022-02-23,4,2022,2,9,4,0,187,21992,8231.184976,181020220,3391885,56196148365,1,6,-4,-8,2,0,180557653
2022-02-24,4,2022,2,9,5,0,188,22090,8517.806247,188158340,3490656,51658807774,1,1,-2,-9,5,0,155281436
2022-02-25,4,2022,2,9,6,0,188,24987,8916.61584,222799480,3205894,62455272901,0,10,3,-5,10,0,238868613
2022-02-26,4,2022,2,9,7,0,189,26931,9424.077829,253799840,3392579,61616873256,0,2,6,-1,12,1,200973020
2022-02-27,4,2022,2,10,1,0,188,26947,8827.933351,237886320,2833228,63266454427,1,4,4,-2,11,0,23772026
2022-02-28,4,2022,2,10,2,0,188,27012,8631.555235,233155570,3299728,61687905080,4,20,6,-2,13,0,151021938
2022-03-01,1,2022,3,10,3,1,190,22849,8399.71246,191925030,3205643,58327216990,8,0,6,1,12,2,235044856
2022-03-02,1,2022,3,10,4,0,188,24861,7586.293391,188602840,2745737,58643321605,4,1,4,-2,10,0,191512706
2022-03-03,1,2022,3,10,5,0,188,24821,7728.49442,191828960,2774331,58602558953,0,1,5,-1,13,0,175314379
2022-03-04,1,2022,3,10,6,0,189,25205,8253.68288,208034077,2745513,62647371668,2,1,8,-1,16,0,169042035
2022-03-05,1,2022,3,10,7,0,190,24633,8851.727358,218044600,3157464,60406360181,0,0,4,0,9,0,175064913
2022-03-06,1,2022,3,11,1,0,188,21685,8467.507033,183617890,3362064,60382116051,0,0,2,-3,8,0,21968063
2022-03-07,1,2022,3,11,2,0,189,24148,7623.81398,184099860,3447529,56414793864,2,1,3,-4,11,0,147330113
2022-03-08,1,2022,3,11,3,0,190,25280,7672.461432,193959825,2847512,62472871010,0,0,5,-2,13,0,217801168
2022-03-09,1,2022,3,11,4,0,190,24681,7998.0094,197398870,2944600,59251762772,0,1,7,-1,15,0,159534444
2022-03-10,1,2022,3,11,5,0,190,25716,7538.877353,193869770,3488570,56264340014,2,4,8,0,17,0,167624430
2022-03-11,1,2022,3,11,6,0,190,26499,8053.670705,213414220,2866446,59324397860,0,2,11,3,18,0,158510120
2022-03-12,1,2022,3,11,7,0,192,27395,8551.945611,234280550,2795743,56317114630,0,1,13,6,20,1,170406020
2022-03-13,1,2022,3,12,1,0,190,21023,8782.676022,184638198,2892259,56325324189,0,0,13,10,16,19,21969347
2022-03-14,1,2022,3,12,2,0,190,25670,8026.019478,206027920,3599186,52642853771,0,2,10,6,13,4,141839745
2022-03-15,1,2022,3,12,3,0,192,25676,7501.30511,192603510,3198612,55050862542,0,3,9,3,16,0,216278232
2022-03-16,1,2022,3,12,4,0,191,26334,7408.270297,195089390,2857066,56448900590,2,0,11,2,19,0,160748974
2022-03-17,1,2022,3,12,5,0,191,23994,7626.805035,182997560,2986418,53845092241,2,3,9,6,12,6,150114398
2022-03-18,1,2022,3,12,6,0,191,24314,8191.928272,199178544,3198598,55518305366,1,2,6,5,9,7,183267487
2022-03-19,1,2022,3,12,7,0,191,23128,9152.85844,211687310,3645225,52818275112,2,3,4,2,6,10,156719022
2022-03-20,1,2022,3,13,1,0,192,21931,8205.842415,179962330,3129411,52775537556,0,2,5,1,9,0,21056353
2022-03-21,1,2022,3,13,2,0,193,25034,7384.890149,184873340,2975386,49084521633,1,3,6,-1,12,0,134063958
2022-03-22,1,2022,3,13,3,0,186,25458,7106.647812,180921040,3041923,51810914137,0,1,7,1,13,0,211488072
2022-03-23,1,2022,3,13,4,0,193,24741,7548.962855,186768890,3117043,54269002066,2,2,6,2,10,0,217042749
2022-03-24,1,2022,3,13,5,0,191,24671,7489.638037,184776860,3180203,51621093856,0,6,8,1,14,0,147792612
2022-03-25,1,2022,3,13,6,0,194,26243,8053.211523,211340430,3526880,61725099904,0,12,12,4,18,12,154249500
2022-03-26,1,2022,3,13,7,0,195,25836,8741.392553,225842618,3861139,60011551019,0,2,12,8,16,28,175009234
2022-03-27,1,2022,3,14,1,0,193,25067,8106.702836,203210720,3675048,59580002779,0,1,9,4,16,0,20969468
2022-03-28,1,2022,3,14,2,0,193,26254,7489.696046,196634480,3731230,55981072108,0,6,7,0,14,0,139458666
2022-03-29,1,2022,3,14,3,0,194,26776,7220.716687,193341910,3019514,57394767147,0,5,9,1,17,0,231491499
2022-03-30,1,2022,3,14,4,0,194,25090,7389.773615,185409420,2714168,60960631145,1,8,12,4,19,1,239752356
2022-03-31,1,2022,3,14,5,0,191,25318,7629.127103,193154240,3488140,59263186560,1,22,10,6,13,1,156704690
2022-04-01,1,2022,4,14,6,0,193,27675,8051.039639,222812522,3019267,60464249118,11,0,8,3,14,0,159380215
2022-04-02,1,2022,4,14,7,0,192,30375,8579.348148,260597700,3289620,57167501482,0,0,8,1,15,0,172110298
2022-04-03,1,2022,4,15,1,0,192,26105,8099.523846,211438070,3124816,57085209981,0,0,9,1,17,0,26232264
2022-04-04,1,2022,4,15,2,0,194,27289,7218.344388,196981400,2914949,52611015768,1,0,10,2,18,0,157030138
2022-04-05,1,2022,4,15,3,0,195,27885,7246.920208,202080370,2876387,54852518774,1,1,11,2,18,0,240520254
2022-04-06,1,2022,4,15,4,0,196,27428,7255.090783,198992630,3362565,57496283551,1,2,12,5,19,0,161280298
2022-04-07,1,2022,4,15,5,0,196,27636,7249.800261,200355480,3034887,54532805004,0,0,12,6,18,1,165656615
2022-04-08,1,2022,4,15,6,0,195,30299,7876.209776,238641280,2946846,56718898114,2,1,13,3,21,0,178831347
2022-04-09,1,2022,4,15,7,0,195,34429,8456.541869,291150280,3186283,53660476502,0,0,17,9,25,0,204456842
2022-04-10,1,2022,4,16,1,0,194,31803,7839.589347,249322460,3042577,53555422984,0,1,18,10,25,0,24073798
2022-04-11,1,2022,4,16,2,0,196,30948,7116.674422,220246840,3771778,49301882372,0,3,19,12,25,0,158587864
2022-04-12,1,2022,4,16,3,0,196,30114,7207.862124,217057560,3466933,51468926064,2,1,19,13,26,0,258032543
2022-04-13,1,2022,4,16,4,0,195,25257,7470.011482,188670080,3394698,54354962134,0,1,12,10,17,10,182688170
2022-04-14,1,2022,4,16,5,0,196,26727,7292.436862,194904960,3954778,52214831371,0,3,11,9,14,2,187216478
2022-04-15,1,2022,4,16,6,0,197,29428,7819.58271,230114680,3761832,53928477636,2,4,11,7,18,0,183788570
2022-04-16,1,2022,4,16,7,0,197,33563,8251.004082,276928450,3010882,50865568478,0,1,11,4,19,0,192455805
2022-04-17,1,2022,4,17,1,0,194,29918,7863.222809,235251900,3291879,50801539277,0,0,13,4,21,0,27090408
2022-04-18,1,2022,4,17,2,0,197,29504,7030.895133,207439530,3463488,46203406623,1,6,15,9,22,0,161525534
2022-04-19,1,2022,4,17,3,0,197,29836,6992.616638,208631710,3044483,49839366523,0,3,14,7,23,0,238652309
2022-04-20,1,2022,4,17,4,0,197,30729,7062.490481,217023270,3632811,53407874913,0,4,15,6,23,0,180034504
2022-04-21,1,2022,4,17,5,0,197,30029,7034.051417,211225530,3101021,50530728677,2,1,13,8,19,1,167241038
2022-04-22,1,2022,4,17,6,0,197,30790,7742.438129,238389670,3407670,55531213186,0,1,16,9,23,0,197019870
2022-04-23,1,2022,4,17,7,0,197,34730,8092.440541,281050460,3432607,50962809147,0,1,17,12,24,0,202452169
2022-04-24,1,2022,4,18,1,0,195,31955,7639.723987,244127380,3410807,50848529190,0,2,19,12,26,0,26660892
2022-04-25,1,2022,4,18,2,0,197,30543,7059.49612,215618190,3243249,47334654156,2,7,19,14,26,9,164496248
2022-04-26,1,2022,4,18,3,0,196,30224,7091.397896,214330410,3640090,55152710319,1,1,18,15,22,23,249176979
2022-04-27,1,2022,4,18,4,0,196,30863,6961.789521,214861710,3421868,60164586757,0,2,16,11,22,0,197030146
2022-04-28,1,2022,4,18,5,0,194,29476,7071.583661,208442000,2902801,55923896235,1,5,15,9,22,0,181207749
2022-04-29,1,2022,4,18,6,0,196,28710,8009.976663,229966430,3497788,59291958767,2,8,12,9,15,14,311370072
2022-04-30,1,2022,4,18,7,0,198,32515,8493.441796,276164260,3615379,58063748252,1,28,12,9,17,0,182069462
2022-05-01,1,2022,5,19,1,1,197,29011,7999.270277,232066830,3028958,57959583516,8,0,13,7,19,0,26554967
2022-05-02,1,2022,5,19,2,0,197,29127,7305.784667,212795590,3365384,53183310280,11,0,12,6,19,0,179638588
2022-05-03,1,2022,5,19,3,0,198,30678,7014.090553,215178270,3183050,63363808645,1,0,13,5,21,0,267529006
2022-05-04,1,2022,5,19,4,0,199,32786,7592.578845,248930290,3342637,67084064172,0,0,16,7,25,0,196462588
2022-05-05,1,2022,5,19,5,1,199,36549,8237.553148,301074330,3047559,64246111679,0,2,18,9,25,0,189660116
2022-05-06,1,2022,5,19,6,0,198,38539,8015.851475,308922900,3753531,62392030713,0,0,19,11,26,0,196479709
2022-05-07,1,2022,5,19,7,0,199,33904,8397.927678,284723340,2860114,59426376612,0,0,17,12,23,0,212065570
2022-05-08,1,2022,5,20,1,1,196,26868,8312.663391,223344640,3800039,59132593760,0,1,15,10,20,1,33533958
2022-05-09,1,2022,5,20,2,0,198,31147,7149.245192,222677540,3507282,54740320837,0,1,16,10,22,0,201334683
2022-05-10,1,2022,5,20,3,0,199,31379,7032.736225,220680230,3063436,53786251341,4,1,16,9,23,0,256838803
2022-05-11,1,2022,5,20,4,0,199,31904,6987.250815,222921250,3170474,53422725008,1,1,18,13,24,0,171680084
2022-05-12,1,2022,5,20,5,0,200,31741,6983.648593,221667990,3327478,50647456103,3,3,19,14,25,0,177301593
2022-05-13,1,2022,5,20,6,0,200,29833,7998.429256,238617140,3360917,53162225946,1,1,16,13,20,1,193843802
2022-05-14,1,2022,5,20,7,0,200,34635,8348.365815,289145650,3188184,49925648861,0,4,15,9,22,0,198464894
2022-05-15,1,2022,5,21,1,0,198,29463,7878.919323,232136600,3255806,49780372985,0,2,15,9,21,0,25806684
2022-05-16,1,2022,5,21,2,0,199,31016,7002.600593,217192660,3348087,45403548376,2,1,16,8,23,0,171958685
