점포명,x,y
노브랜드 안성공도점,127.1765591,37.00348585
노브랜드 안성시장점,127.270263,37.00662571
노브랜드 안양평촌점,126.9749929,37.39448208
노브랜드 양산물금점,129.016466,35.32688125
노브랜드 양주광사점,127.0805302,37.7952925
노브랜드 양주덕정점,127.0646972,37.84113107
노브랜드 양주옥정점,127.094083,37.81948582
노브랜드 양주회정점,127.0531077,37.82878649
노브랜드 엔터식스한양대점,127.040105,37.55715433
노브랜드 여주한글시장점,127.634908,37.29739551
노브랜드 영등포양평점,126.8926706,37.53821419
노브랜드 영등포여의도점,126.9168952,37.52787086
노브랜드 영주가흥점,128.6049825,36.81769682
노브랜드 예천호명점,128.481135,36.5761321
노브랜드 오산갈곶동점,127.0682306,37.13171881
노브랜드 오산금암점,127.0512041,37.17474574
노브랜드 오산수청점,127.0655846,37.17085663
노브랜드 용인구갈점,127.1132543,37.27984688
노브랜드 용인동천점,127.0915713,37.33728383
노브랜드 용인보라점,127.1192528,37.25512805
노브랜드 용인삼가점,127.1742461,37.23888363
노브랜드 용인상현점,127.0746283,37.30049581
노브랜드 용인죽전점,127.1195875,37.33134834
노브랜드 용인청덕점,127.1481243,37.29127905
노브랜드 울산달동점,129.3315112,35.5387056
노브랜드 울산무거점,129.2614877,35.54697701
노브랜드 울산방어점,129.415681,35.48770336
노브랜드 울산범서점,129.2424268,35.57147304
노브랜드 울산성남점,129.320552,35.55313249
노브랜드 울산신천점,129.3482927,35.63272982
노브랜드 울산유곡점,129.2964272,35.56069536
노브랜드 원주단계점,127.927879,37.3523736
노브랜드 원주단구점,127.958338,37.32415604
노브랜드 원주무실점,127.9289599,37.33356975
노브랜드 원주반곡점,127.9874651,37.32729167
노브랜드 원주지정점,127.8753949,37.37433664
노브랜드 위례스타필드시티점,127.1484041,37.48013569
노브랜드 위례창곡점,127.142952,37.47169969
노브랜드 의왕포일점,126.9874255,37.39761564
노브랜드 의정부 호원점,127.0472987,37.72105332
노브랜드 의정부녹양점,127.0366013,37.76071365
노브랜드 의정부민락점,127.0909685,37.74023181
노브랜드 의정부신곡점,127.0794583,37.75078605
노브랜드 이천안흥점,127.4549491,37.28080329
노브랜드 익산부송점,126.9947221,35.95991935
노브랜드 인천 마전2점,126.6588557,37.6022292
노브랜드 인천 불로동점,126.6836374,37.61291112
노브랜드 인천가정점,126.6650102,37.52933927
노브랜드 인천논현역점,126.7235028,37.39929718
노브랜드 인천당하점,126.6753517,37.58812094
노브랜드 인천마전점,126.6683608,37.59744781
노브랜드 인천서창점,126.7516487,37.42326102
노브랜드 인천송도점,126.6473195,37.39740409
노브랜드 인천심곡점,126.6772389,37.54427977
노브랜드 인천원당점,126.6977602,37.59388514
노브랜드 인천원창점,126.6450455,37.51598483
노브랜드 인천장승백이시장점,126.7357351,37.44692236
노브랜드 인천청라점,126.6463559,37.53388411
노브랜드 인천청학점,126.6689811,37.41866177
노브랜드 일산주엽점,126.7624186,37.67530965
노브랜드 일산킨텍스점,126.7440654,37.66158314
노브랜드 전주삼천점,127.1120132,35.79835464
노브랜드 제주아라점,126.5381975,33.48362441
노브랜드 제천중앙시장점,128.2113,37.13662753
노브랜드 주문진시장점,128.8279449,37.89137027
노브랜드 진주MBC점,128.107442,35.16379878
노브랜드 진주초전점,128.1128284,35.21240571
노브랜드 진주충무공점,128.1319328,35.16957595
노브랜드 진천덕산점,127.5349109,36.90277453
노브랜드 진해용원점,128.8116815,35.1003859
노브랜드 진해자은점,128.7127192,35.15514663
노브랜드 진해풍호점,128.7065793,35.13521968
노브랜드 창원대동점,128.6907446,35.22031329
노브랜드 천안백석점,127.1239038,36.83075962
노브랜드 천안불당점,127.1008273,36.81641775
노브랜드 천안성성점,127.1296475,36.83971644
노브랜드 천안신방2점,127.1200143,36.78888034
노브랜드 천안신방점,127.1334659,36.7733234
노브랜드 천안용곡점,127.1316284,36.78849743
노브랜드 천안청당점,127.1573869,36.78556266
노브랜드 청주사천점,127.4726957,36.66335201
노브랜드 춘천점,127.7391538,37.85654305
노브랜드 충주중앙탑점,127.8245062,37.01660965
노브랜드 충주호암점,127.9339522,36.9537075
노브랜드 칠곡석적점,128.3981546,36.07704583
노브랜드 칠곡왜관점,128.3990473,35.98008157
노브랜드 통영광도점,128.4181678,34.88137324
노브랜드 파주다율점,126.7175376,37.72951636
노브랜드 파주동패점,126.7386655,37.71112124
노브랜드 파주목동동점,126.7372392,37.71901256
노브랜드 파주아울렛점,126.6953853,37.76935123
노브랜드 파주야당점,126.759533,37.71157379
노브랜드 파주와동점,126.7649837,37.73447672
노브랜드 판교운중점,127.0817375,37.39110422
노브랜드 평택 용이점,127.1383445,36.99656154
노브랜드 평택동삭점,127.0964532,37.01916828
노브랜드 평택비전점,127.1012842,37.00355683
노브랜드 평택서정점,127.0639806,37.06952963
노브랜드 평택송담점,126.92648,36.97722436
노브랜드 평택중앙로점,127.0879289,36.9943184
노브랜드 평택청북점,126.9180418,37.01800363
노브랜드 포항상도점,129.3453728,36.00713684
노브랜드 포항양덕점,129.3960723,36.0860184
노브랜드 포항초곡점,129.3369357,36.09663288
노브랜드 하남 천현점,127.2242679,37.53478425
노브랜드 하남미사1점,127.187643,37.55663947
노브랜드 하남미사2동점,127.1948047,37.56906278
노브랜드 홍성남장점,126.6653399,36.58689368
노브랜드 홍성홍북점,126.6793668,36.65704329
노브랜드 화성 반송2점,127.0597149,37.2021273
노브랜드 화성남양점,126.8256399,37.19881278
노브랜드 화성능동점,127.0568627,37.21436289
노브랜드 화성동탄리치안점,127.118579,37.17115263
노브랜드 화성동탄자이점,127.1122618,37.21022853
노브랜드 화성봉담점,126.9567507,37.22008031
노브랜드 화성진안점,127.036484,37.2121074
노브랜드 화성향남점,126.9119463,37.11670709
노브랜드 화성향남행정점,126.9263477,37.12568385
